review_id,rating,review_text
37,5,AWESOME EXCELLENT FANTASTIC FANTASTIC AWESOME FANTASTIC @@@ 😡
38,2,poor awful poor poor 😡
39,2,awful poor late late worst poor @@@ 😍
40,4,EXCELLENT GOOD EXCELLENT GREAT @@@ 😍
41,5,GOOD AMAZING GREAT EXCELLENT AMAZING AWESOME AWESOME 😍 ... LOL
42,5,FANTASTIC GREAT AMAZING AWESOME AWESOME EXCELLENT 😍 !!! ###
43,5,awesome fantastic excellent awesome excellent great !!! 😍 ###
44,3,awful bad awful worst poor awful late LOL LOL
45,4,AMAZING AMAZING FANTASTIC GOOD AWESOME SUPER @@@
46,1,late bad bad bad awful awful late LOL ...
47,4,GOOD EXCELLENT EXCELLENT EXCELLENT AMAZING LOL LOL
48,4,great awesome good excellent @@@ 😍
49,3,AWFUL LATE LATE BAD AWFUL @@@ ### @@@
50,4,great excellent amazing 😍 ...
51,2,awful late poor @@@ SUPER
52,3,bad late worst awful bad LOL 😡 😡
53,4,excellent amazing good amazing excellent great 😡
54,3,TERRIBLE BAD POOR POOR BAD AWFUL WORST 😍 😡
55,3,late late poor terrible late LOL @@@ 😡
56,1,bad poor bad poor bad terrible worst LOL LOL
57,4,AWESOME GREAT AWESOME FANTASTIC EXCELLENT GREAT EXCELLENT 😍
58,2,late worst bad late ###
59,1,TERRIBLE AWFUL POOR AWFUL LATE WORST WORST 😡
60,4,GREAT EXCELLENT EXCELLENT LOL 😍 @@@
61,5,AWESOME AMAZING AMAZING AWESOME EXCELLENT FANTASTIC GOOD LOL 😡
62,1,bad bad late poor poor LOL
63,4,GREAT EXCELLENT GREAT FANTASTIC @@@ 😍 !!!
64,3,WORST POOR AWFUL 😍
65,4,excellent amazing great awesome 😍 ...
66,4,EXCELLENT AMAZING EXCELLENT GOOD AMAZING SUPER LOL
67,4,good awesome good excellent good awesome amazing ... 😍
68,2,awful awful late bad awful worst bad LOL
69,3,awful worst terrible worst ... 😍 ...
70,3,poor poor late terrible terrible bad terrible 😡
71,3,terrible poor bad late poor SUPER 😡
72,3,late awful terrible !!! ...
73,2,AWFUL TERRIBLE BAD BAD BAD 😡 SUPER ...
74,5,GREAT GREAT AMAZING GREAT EXCELLENT AMAZING !!! ... SUPER
75,3,bad poor poor awful terrible bad @@@
76,3,LATE TERRIBLE POOR WORST BAD POOR @@@ @@@
77,4,amazing good excellent great awesome amazing great 😍 ...
78,4,fantastic awesome awesome excellent good ... ... SUPER
79,3,worst poor terrible ... ###
80,3,bad poor late terrible awful worst !!!
81,2,terrible terrible late bad bad !!!
82,1,awful bad poor LOL ...
83,5,amazing amazing good !!! ... !!!
84,1,LATE TERRIBLE TERRIBLE LATE POOR LATE LATE ###
85,5,great excellent great good fantastic excellent !!! ### !!!
86,1,awful worst late awful awful awful !!!
87,1,late terrible terrible awful worst SUPER
88,5,great good excellent excellent amazing !!!
89,3,poor worst poor worst ### @@@ !!!
90,5,great awesome fantastic good ###
91,5,AMAZING FANTASTIC GREAT EXCELLENT SUPER 😍 !!!
92,3,BAD WORST POOR WORST POOR @@@
93,5,FANTASTIC EXCELLENT EXCELLENT GREAT ... 😡 LOL
94,1,WORST BAD POOR POOR AWFUL ...
95,3,BAD BAD AWFUL AWFUL LATE TERRIBLE !!!
96,4,great awesome excellent awesome great great SUPER 😍
97,4,GREAT GOOD FANTASTIC EXCELLENT 😡 ### LOL
98,2,WORST BAD LATE @@@ @@@ !!!
99,5,AMAZING AWESOME FANTASTIC EXCELLENT AWESOME 😡 ###
100,2,worst poor worst poor 😍
101,4,GREAT GREAT FANTASTIC AMAZING 😍
102,1,poor bad terrible worst 😡
103,4,FANTASTIC GREAT EXCELLENT AMAZING AMAZING ...
104,2,TERRIBLE WORST AWFUL TERRIBLE TERRIBLE SUPER SUPER
105,3,BAD BAD BAD AWFUL BAD BAD SUPER SUPER LOL
106,3,poor worst awful ###
107,2,late awful worst worst worst terrible awful SUPER
108,1,TERRIBLE WORST WORST LATE POOR WORST !!! ...
109,4,EXCELLENT FANTASTIC FANTASTIC FANTASTIC FANTASTIC AMAZING GREAT 😍 😍
110,3,TERRIBLE AWFUL BAD LATE WORST TERRIBLE @@@ 😍
111,3,worst late awful poor bad late awful ###
112,1,terrible poor poor bad poor worst awful @@@ LOL
113,3,bad worst worst bad late 😡 LOL
114,3,BAD TERRIBLE WORST WORST WORST WORST POOR !!! 😡
115,2,terrible bad bad late 😡 😡 ...
116,4,great good good excellent awesome amazing excellent !!! !!! 😡
117,3,bad late poor bad 😡 SUPER
118,3,awful late terrible bad worst ### @@@ SUPER
119,3,BAD TERRIBLE POOR AWFUL WORST BAD @@@
120,2,TERRIBLE AWFUL POOR LATE LATE ... !!!
121,5,AWESOME FANTASTIC AWESOME GREAT SUPER
122,1,TERRIBLE POOR TERRIBLE WORST ### SUPER 😡
123,5,AMAZING AWESOME AMAZING AWESOME EXCELLENT GREAT FANTASTIC ...
124,5,awesome excellent great !!! ... 😍
125,1,LATE BAD WORST LATE LATE AWFUL 😡 ###
126,4,GOOD AMAZING FANTASTIC ### !!! !!!
127,5,fantastic good amazing ... ###
128,5,AWESOME EXCELLENT FANTASTIC EXCELLENT AMAZING GREAT ### SUPER 😍
129,1,late poor late bad poor worst 😡
130,5,EXCELLENT AWESOME AMAZING GOOD FANTASTIC 😡 😍 @@@
131,2,WORST AWFUL LATE !!! @@@ !!!
132,1,POOR LATE BAD POOR TERRIBLE AWFUL POOR LOL
133,3,TERRIBLE WORST POOR 😡 @@@ ...
134,3,poor awful worst ...
135,4,great awesome great good great 😍
136,5,FANTASTIC FANTASTIC FANTASTIC AMAZING AMAZING AWESOME GOOD 😍
137,4,AWESOME AWESOME EXCELLENT GREAT EXCELLENT GREAT GOOD !!!
138,1,poor terrible awful poor poor worst 😍 😍 SUPER
139,5,EXCELLENT EXCELLENT GREAT GOOD GOOD AMAZING 😡
140,1,poor terrible awful ... ###
141,4,AWESOME AWESOME AWESOME AMAZING SUPER
142,5,GOOD EXCELLENT FANTASTIC AMAZING AMAZING AWESOME 😡
143,1,WORST LATE LATE LATE ...
144,5,GREAT GOOD GOOD AWESOME GREAT !!! @@@ 😡
145,2,WORST LATE POOR 😍 😍 @@@
146,3,AWFUL WORST AWFUL TERRIBLE ... ### LOL
147,4,amazing good great excellent good awesome SUPER 😍
148,4,AWESOME EXCELLENT FANTASTIC GREAT AMAZING GOOD AMAZING 😡 !!!
149,1,WORST LATE TERRIBLE BAD AWFUL BAD LOL ### 😍
150,5,FANTASTIC AMAZING EXCELLENT @@@ ...
151,3,BAD WORST BAD AWFUL TERRIBLE TERRIBLE BAD LOL SUPER ###
152,2,terrible terrible poor worst poor late poor ...
153,5,amazing fantastic excellent fantastic 😍 😍
154,2,LATE POOR POOR 😡 @@@
155,1,poor worst bad late poor worst 😍 !!!
156,3,TERRIBLE BAD TERRIBLE @@@ @@@
157,4,AWESOME GOOD EXCELLENT EXCELLENT AWESOME LOL ...
158,2,late terrible poor bad 😍 @@@
159,2,terrible terrible terrible poor awful worst LOL !!! LOL
160,5,GOOD AMAZING AMAZING FANTASTIC GOOD GREAT FANTASTIC !!!
161,3,TERRIBLE POOR TERRIBLE !!! !!! ...
162,1,WORST LATE BAD TERRIBLE AWFUL LATE TERRIBLE SUPER ### ###
163,4,GREAT EXCELLENT GOOD GREAT LOL 😍 @@@
164,3,AWFUL LATE POOR LOL 😍
165,3,awful poor poor late late worst awful LOL 😡 @@@
166,3,POOR LATE TERRIBLE BAD LATE BAD LOL 😡
167,5,excellent awesome excellent awesome ###
168,2,LATE LATE WORST AWFUL TERRIBLE WORST 😡
169,4,AMAZING FANTASTIC FANTASTIC AMAZING GOOD GREAT SUPER
170,5,FANTASTIC GREAT GOOD 😡 @@@ LOL
171,1,TERRIBLE LATE POOR AWFUL 😍
172,1,late bad terrible worst awful poor worst @@@ SUPER
173,2,bad awful bad late bad poor SUPER SUPER
174,2,BAD WORST LATE BAD 😍 !!!
175,1,BAD TERRIBLE POOR AWFUL 😡
176,4,GREAT AWESOME GOOD 😡 😍
177,3,TERRIBLE BAD BAD WORST LATE TERRIBLE ... ... ###
178,4,GREAT FANTASTIC FANTASTIC SUPER
179,2,WORST POOR AWFUL LATE @@@ ...
180,3,terrible bad worst late 😍 😡
181,1,TERRIBLE BAD WORST SUPER 😍
182,3,poor awful terrible worst !!!
183,5,AMAZING AMAZING AWESOME AMAZING FANTASTIC GOOD !!!
184,2,bad late awful poor worst bad terrible 😍
185,5,FANTASTIC FANTASTIC FANTASTIC GOOD AWESOME AMAZING AWESOME ###
186,4,AWESOME GREAT GREAT EXCELLENT GREAT GREAT AMAZING 😍 @@@ ###
187,5,excellent fantastic great great amazing amazing excellent 😍
188,4,AMAZING AMAZING EXCELLENT GREAT EXCELLENT GREAT GOOD 😡 !!!
189,2,worst late poor bad poor poor worst ... !!!
190,2,TERRIBLE POOR BAD WORST POOR BAD 😡 LOL
191,2,awful worst poor worst terrible worst LOL ... 😍
192,4,EXCELLENT AWESOME GREAT GOOD GREAT EXCELLENT LOL ### SUPER
193,1,worst poor poor ###
194,4,awesome awesome fantastic !!!
195,3,AWFUL TERRIBLE BAD AWFUL BAD TERRIBLE LOL @@@
196,1,WORST POOR BAD POOR LATE WORST ... 😍
197,5,EXCELLENT AMAZING AWESOME FANTASTIC ...
198,3,late bad poor bad terrible 😡 LOL
199,4,great fantastic fantastic @@@
200,1,poor poor poor poor !!! SUPER
201,1,BAD TERRIBLE WORST TERRIBLE AWFUL POOR BAD ### 😍 @@@
202,1,terrible poor poor terrible poor awful poor 😍
203,2,AWFUL BAD TERRIBLE TERRIBLE WORST LOL
204,1,worst worst awful awful terrible bad late 😡 SUPER SUPER
205,4,good excellent good excellent LOL !!!
206,2,AWFUL BAD BAD BAD LATE POOR AWFUL 😍 SUPER
207,5,AWESOME EXCELLENT EXCELLENT 😡 SUPER
208,3,LATE POOR POOR TERRIBLE BAD AWFUL SUPER
209,1,awful worst awful late poor worst worst ...
210,3,awful poor late poor LOL @@@
211,4,AMAZING EXCELLENT GREAT AWESOME GOOD 😡 😡
212,4,AMAZING GREAT EXCELLENT GOOD AWESOME GREAT AMAZING 😍 LOL ###
213,3,terrible bad terrible poor terrible late 😍 LOL @@@
214,2,bad late poor poor late SUPER ... ###
215,5,great awesome awesome fantastic fantastic fantastic 😍 😍 😍
216,4,GOOD FANTASTIC EXCELLENT @@@ !!! 😡
217,5,good amazing excellent fantastic awesome good awesome !!! @@@ @@@
218,5,amazing great fantastic amazing good @@@ LOL 😍
219,4,GREAT GOOD AMAZING FANTASTIC ... LOL
220,3,POOR TERRIBLE WORST WORST TERRIBLE !!!
221,1,TERRIBLE LATE BAD TERRIBLE 😍 LOL
222,2,poor poor worst SUPER
223,5,GOOD FANTASTIC FANTASTIC ### SUPER
224,5,good good fantastic ... ...
225,1,worst late poor poor bad awful !!! 😡
226,3,bad poor worst worst terrible LOL !!!
227,1,bad awful poor !!! ### 😡
228,4,good amazing excellent great excellent !!! ### !!!
229,1,WORST AWFUL WORST @@@
230,2,bad poor bad terrible worst !!! @@@
231,4,AMAZING AWESOME FANTASTIC AWESOME AWESOME EXCELLENT !!!
232,5,good great awesome excellent great excellent SUPER ### !!!
233,4,fantastic good fantastic fantastic excellent amazing amazing !!!
234,2,worst terrible bad poor late late awful 😍
235,2,bad worst terrible @@@ ... SUPER
236,4,EXCELLENT AMAZING GREAT GREAT FANTASTIC AWESOME LOL
237,1,AWFUL AWFUL BAD AWFUL WORST LATE !!! 😡 ###
238,1,poor worst late awful worst poor SUPER @@@
239,3,worst awful awful ...
240,5,amazing good fantastic excellent fantastic excellent good LOL LOL 😡
241,4,AWESOME GREAT GOOD GREAT AWESOME GOOD GOOD SUPER ### LOL
242,4,GREAT GREAT GOOD EXCELLENT !!! @@@ 😡
243,4,GREAT EXCELLENT GREAT GOOD GREAT GREAT ...
244,2,POOR TERRIBLE TERRIBLE TERRIBLE POOR AWFUL 😍 SUPER 😡
245,1,WORST TERRIBLE TERRIBLE TERRIBLE WORST ... @@@
246,1,TERRIBLE AWFUL LATE POOR AWFUL WORST LOL LOL
247,1,LATE TERRIBLE TERRIBLE AWFUL POOR SUPER @@@
248,1,TERRIBLE WORST TERRIBLE LOL 😍
249,5,AWESOME GOOD EXCELLENT FANTASTIC GREAT GOOD AWESOME SUPER ... SUPER
250,4,awesome amazing awesome good excellent !!! !!! @@@
251,3,poor terrible poor late awful terrible awful @@@ @@@ LOL
252,2,terrible awful bad 😡
253,5,AWESOME AWESOME FANTASTIC ### SUPER 😡
254,3,TERRIBLE POOR WORST TERRIBLE ...
255,2,late poor bad 😡 !!! ...
256,3,TERRIBLE TERRIBLE LATE TERRIBLE BAD ...
257,2,TERRIBLE WORST WORST ... ... LOL
258,3,WORST WORST POOR AWFUL WORST BAD WORST ... LOL
259,3,AWFUL AWFUL BAD SUPER
260,2,worst terrible late poor poor terrible @@@ ... 😡
261,1,awful awful worst worst LOL
262,3,AWFUL WORST AWFUL BAD POOR BAD WORST 😡 !!!
263,3,AWFUL TERRIBLE TERRIBLE ... LOL
264,3,BAD AWFUL AWFUL ...
265,4,GREAT AWESOME AMAZING FANTASTIC GOOD EXCELLENT ... !!! LOL
266,3,terrible terrible terrible awful awful SUPER ... 😡
267,2,WORST TERRIBLE WORST LATE TERRIBLE ### ###
268,2,awful worst poor 😡 😍 @@@
269,1,LATE POOR TERRIBLE WORST LATE WORST TERRIBLE 😍 SUPER ###
270,1,terrible worst terrible 😍 ... 😡
271,5,awesome good fantastic excellent @@@
272,4,excellent amazing fantastic excellent awesome fantastic excellent 😍 😡 @@@
273,3,TERRIBLE TERRIBLE WORST @@@
274,1,late bad bad !!! 😍 ...
275,4,fantastic awesome awesome fantastic fantastic great good ... 😡 @@@
276,5,EXCELLENT GREAT AWESOME GOOD @@@ LOL SUPER
277,4,AMAZING GREAT GOOD AMAZING AMAZING ... SUPER !!!
278,4,amazing excellent amazing LOL
279,3,LATE BAD BAD LATE 😍 @@@ @@@
280,5,awesome excellent amazing great good ...
281,2,poor awful terrible !!! @@@ ###
282,5,amazing great amazing good amazing great excellent SUPER 😡 ...
283,4,amazing fantastic good excellent amazing ###
284,5,FANTASTIC GREAT AMAZING 😡
285,1,POOR LATE BAD LATE AWFUL !!! ... ###
286,5,good excellent awesome awesome amazing good 😡
287,1,bad worst awful poor terrible late ...
288,4,good awesome excellent fantastic fantastic fantastic @@@
289,5,amazing great fantastic great awesome !!!
290,3,awful bad awful terrible bad late ...
291,1,bad bad worst LOL
292,3,bad worst late @@@ SUPER
293,4,AMAZING AWESOME GREAT GOOD !!! SUPER SUPER
294,5,amazing excellent amazing good awesome amazing @@@ LOL 😍
295,1,TERRIBLE LATE POOR ### ...
296,1,terrible bad late awful awful late late SUPER SUPER
297,3,worst terrible late late ...
298,3,BAD LATE WORST LATE TERRIBLE AWFUL LATE ... !!!
299,3,terrible terrible awful late poor awful bad SUPER @@@
300,2,terrible late terrible awful awful @@@ ...
301,4,FANTASTIC AMAZING GREAT 😡
302,4,great great good excellent fantastic awesome 😍 SUPER 😍
303,3,AWFUL BAD WORST LATE POOR 😡 😡 !!!
304,2,AWFUL TERRIBLE WORST @@@ ...
305,2,WORST TERRIBLE POOR WORST POOR AWFUL LOL 😡 😍
306,1,awful terrible worst poor worst worst @@@ !!!
307,3,poor late late @@@
308,5,awesome excellent good 😡
309,4,GOOD FANTASTIC GOOD GREAT 😍 😡 😍
310,1,POOR AWFUL TERRIBLE TERRIBLE TERRIBLE LATE LATE SUPER 😍
311,4,fantastic good good great awesome fantastic excellent 😡 😍
312,5,amazing excellent great awesome 😡 @@@
313,5,EXCELLENT AMAZING EXCELLENT !!! SUPER
314,5,AMAZING FANTASTIC FANTASTIC AMAZING GOOD AWESOME LOL
315,3,TERRIBLE BAD TERRIBLE BAD 😡 😡 😍
316,3,awful late bad late late terrible @@@
317,5,amazing amazing awesome excellent 😡
318,2,terrible late awful late ### !!!
319,1,LATE TERRIBLE TERRIBLE POOR BAD @@@
320,2,LATE POOR AWFUL POOR POOR LATE LOL
321,4,AWESOME AMAZING GOOD AMAZING AWESOME EXCELLENT SUPER @@@
322,2,worst awful awful poor worst ### 😡
323,1,WORST TERRIBLE POOR POOR 😍 😍 ...
324,3,late late worst late worst 😡
325,4,excellent amazing great good amazing 😍 😍 @@@
326,5,great amazing great ... ###
327,3,worst bad awful worst worst terrible 😡 @@@
328,1,AWFUL POOR WORST AWFUL LATE TERRIBLE WORST ###
329,4,FANTASTIC FANTASTIC EXCELLENT AMAZING EXCELLENT AWESOME AMAZING LOL
330,5,EXCELLENT GOOD AWESOME FANTASTIC @@@ ### SUPER
331,4,awesome excellent fantastic excellent LOL 😡
332,5,fantastic fantastic amazing fantastic excellent fantastic 😡
333,1,poor late worst late worst 😍 😡
334,1,TERRIBLE TERRIBLE TERRIBLE LATE @@@
335,3,awful poor worst poor !!! 😍 😍
336,4,AWESOME GREAT AMAZING AMAZING FANTASTIC GOOD ###
337,1,BAD AWFUL LATE ### LOL SUPER
338,4,great excellent excellent fantastic great !!! 😡 @@@
339,5,AWESOME GOOD AMAZING GREAT EXCELLENT @@@ 😡
340,4,good good fantastic amazing great LOL LOL
341,2,poor worst worst late ### !!! @@@
342,2,BAD TERRIBLE LATE POOR POOR WORST TERRIBLE 😍 !!!
343,2,terrible worst late worst worst late terrible 😡 ### LOL
344,1,late worst bad awful 😍 😍
345,4,amazing excellent amazing fantastic great great awesome 😍 ... 😡
346,4,fantastic great excellent great good 😍 !!! ...
347,5,GREAT AMAZING GREAT GREAT GOOD EXCELLENT GOOD LOL
348,5,GREAT FANTASTIC EXCELLENT GREAT ... @@@
349,1,worst poor terrible bad awful late 😍 !!! ...
350,4,AMAZING GOOD AWESOME AWESOME SUPER ...
351,2,LATE TERRIBLE POOR 😍 ...
352,2,bad bad awful awful poor awful poor ... 😍 @@@
353,2,bad awful worst bad late late LOL
354,2,poor late poor worst late ...
355,1,awful poor awful awful late bad 😍 @@@ ###
356,4,great fantastic excellent amazing LOL !!!
357,3,BAD AWFUL LATE POOR LATE 😡
358,3,AWFUL LATE BAD SUPER
359,5,GREAT GREAT AMAZING @@@ 😍 @@@
360,4,GREAT EXCELLENT GREAT ... LOL
361,2,worst bad bad !!! 😍 !!!
362,3,POOR BAD TERRIBLE POOR !!! 😍 ...
363,2,bad terrible terrible late SUPER LOL
364,4,excellent awesome awesome awesome great 😍 LOL 😡
365,1,BAD AWFUL WORST TERRIBLE BAD WORST TERRIBLE ...
366,3,BAD TERRIBLE LATE TERRIBLE AWFUL LOL
367,4,awesome excellent excellent 😡 😡 ...
368,2,late worst terrible late terrible bad @@@ 😡 😍
369,1,LATE LATE BAD BAD POOR AWFUL !!! LOL
370,5,great fantastic good amazing amazing amazing SUPER !!!
371,3,terrible bad late late awful terrible late 😡
372,3,AWFUL LATE WORST POOR AWFUL ...
373,5,excellent awesome awesome fantastic fantastic fantastic @@@ SUPER
374,1,bad awful bad ... 😡 😡
375,5,GREAT AWESOME EXCELLENT AWESOME AWESOME EXCELLENT ... ###
376,1,bad terrible poor ### @@@
377,1,worst late bad awful terrible 😍
378,2,late late poor terrible poor worst poor ... ### ###
379,4,FANTASTIC AMAZING GREAT GOOD !!! LOL
380,1,worst poor late awful late poor late SUPER
381,2,terrible worst terrible bad bad SUPER LOL LOL
382,1,bad bad late ...
383,1,AWFUL AWFUL AWFUL SUPER LOL
384,4,good awesome good amazing excellent 😡 ###
385,4,GREAT FANTASTIC GREAT @@@ 😍 ...
386,2,terrible late late worst awful late !!! ... @@@
387,4,excellent good good awesome good great great ... ...
388,4,GOOD FANTASTIC AWESOME GOOD LOL LOL
389,3,AWFUL TERRIBLE WORST BAD AWFUL 😡 ###
390,2,late late terrible terrible worst terrible late ###
391,1,terrible awful awful 😍 LOL SUPER
392,5,EXCELLENT GREAT FANTASTIC 😡 😡 !!!
393,4,GOOD AWESOME AWESOME EXCELLENT GREAT AMAZING GOOD ...
394,4,fantastic good awesome amazing fantastic excellent ###
395,1,poor worst awful worst bad poor worst !!! LOL
396,4,FANTASTIC FANTASTIC AWESOME AWESOME AMAZING FANTASTIC AMAZING 😍 😡 !!!
397,1,terrible late awful poor terrible awful awful SUPER SUPER @@@
398,4,GOOD GREAT EXCELLENT FANTASTIC 😍
399,3,LATE LATE WORST POOR LOL SUPER
400,2,late bad late terrible poor poor @@@ ...
401,1,terrible bad worst worst 😡 ...
402,1,terrible bad late bad ... ### SUPER
403,1,bad terrible terrible awful worst awful poor ### LOL 😡
404,5,EXCELLENT GREAT GOOD EXCELLENT GOOD EXCELLENT 😡
405,4,GOOD GOOD AMAZING GOOD GOOD SUPER SUPER
406,3,poor terrible worst late LOL 😡 ###
407,4,awesome awesome good great fantastic @@@ LOL !!!
408,5,AWESOME GOOD FANTASTIC EXCELLENT GOOD GREAT EXCELLENT 😡 !!!
409,1,POOR WORST LATE BAD POOR LOL
410,3,LATE TERRIBLE LATE WORST POOR LATE TERRIBLE @@@ ### @@@
411,5,fantastic great amazing fantastic excellent great amazing LOL
412,3,bad terrible late ... 😡 LOL
413,5,AWESOME GREAT EXCELLENT GREAT FANTASTIC AMAZING AMAZING SUPER
414,2,WORST LATE BAD WORST AWFUL TERRIBLE LATE 😡
415,1,BAD BAD TERRIBLE WORST WORST ... LOL
416,5,awesome great great awesome @@@ ### SUPER
417,4,amazing good fantastic great good great excellent SUPER ###
418,4,GOOD FANTASTIC FANTASTIC AMAZING AWESOME 😡 !!!
419,4,AWESOME AMAZING GREAT LOL
420,1,TERRIBLE POOR AWFUL WORST LATE LATE LOL
421,1,bad worst late 😍 SUPER
422,5,fantastic awesome good good awesome amazing @@@ 😍 ###
423,5,AWESOME GREAT AMAZING SUPER ###
424,1,TERRIBLE WORST POOR 😍 @@@
425,3,TERRIBLE AWFUL BAD AWFUL POOR POOR AWFUL SUPER !!! LOL
426,2,poor awful terrible worst bad awful late !!! !!! @@@
427,5,GREAT AMAZING AMAZING !!! !!!
428,5,AWESOME EXCELLENT AWESOME GREAT GOOD AMAZING 😍 😡
429,2,poor bad worst poor SUPER @@@
430,3,awful terrible terrible awful poor terrible 😡
431,5,GREAT GREAT GREAT LOL !!! @@@
432,5,fantastic amazing awesome good great amazing amazing SUPER @@@
433,2,worst worst late worst ### @@@
434,2,BAD WORST WORST TERRIBLE TERRIBLE BAD SUPER ...
435,5,GOOD EXCELLENT AMAZING EXCELLENT AWESOME GREAT FANTASTIC SUPER ... ###
436,1,AWFUL BAD POOR LATE BAD AWFUL SUPER 😡 ...
437,5,awesome excellent awesome amazing 😍 ...
438,3,awful poor terrible late worst poor late SUPER
439,5,excellent fantastic awesome great great fantastic amazing 😡 LOL ###
440,1,terrible awful worst @@@ ... 😡
441,2,bad worst bad poor bad 😍
442,5,FANTASTIC GREAT GREAT FANTASTIC ###
443,4,GREAT GOOD AWESOME AWESOME FANTASTIC AMAZING AWESOME @@@ 😡 !!!
444,5,good fantastic amazing fantastic 😡 !!! LOL
445,4,good amazing good great amazing awesome SUPER LOL
446,1,LATE LATE LATE LATE !!! !!!
447,5,EXCELLENT GOOD AWESOME GREAT GOOD AWESOME FANTASTIC 😡 @@@ LOL
448,5,FANTASTIC GREAT EXCELLENT GREAT AMAZING GREAT LOL 😡
449,3,poor terrible terrible worst awful late terrible SUPER ...
450,3,poor terrible poor awful terrible bad SUPER ...
451,3,WORST TERRIBLE BAD WORST BAD AWFUL POOR !!! ... 😡
452,4,FANTASTIC GOOD GOOD AWESOME GREAT GOOD GREAT 😍
453,5,excellent awesome great ...
454,2,BAD WORST POOR WORST POOR WORST 😍 😍
455,4,GREAT GOOD GREAT AMAZING EXCELLENT 😍
456,4,great fantastic fantastic excellent great great fantastic 😡 😡 SUPER
457,3,WORST BAD TERRIBLE POOR AWFUL TERRIBLE TERRIBLE ### @@@ SUPER
458,3,BAD TERRIBLE LATE LATE LATE POOR 😡 !!!
459,2,WORST WORST BAD TERRIBLE BAD AWFUL BAD @@@ 😡
460,5,AMAZING AMAZING AMAZING GOOD GREAT AWESOME LOL !!! 😍
461,2,late poor terrible poor ### 😍
462,1,POOR BAD AWFUL POOR ### 😍
463,2,poor bad bad terrible poor worst ...
464,4,awesome awesome excellent great excellent fantastic awesome LOL 😡
465,4,GOOD GREAT GREAT EXCELLENT FANTASTIC GREAT FANTASTIC 😡
466,2,POOR WORST LATE POOR AWFUL BAD ... !!!
467,4,AMAZING AMAZING AMAZING AWESOME AMAZING AWESOME EXCELLENT SUPER 😡
468,4,AWESOME GREAT EXCELLENT AMAZING ...
469,1,worst awful terrible worst late ### 😍
470,4,EXCELLENT EXCELLENT EXCELLENT AMAZING GOOD GREAT ... @@@ ...
471,3,worst poor late awful bad !!! 😡
472,2,WORST LATE POOR TERRIBLE ### LOL
473,2,POOR AWFUL WORST WORST TERRIBLE ### @@@
474,1,TERRIBLE TERRIBLE AWFUL TERRIBLE BAD 😍
475,2,late late late poor ...
476,4,AWESOME FANTASTIC AWESOME GREAT SUPER 😍
477,1,BAD WORST BAD ### 😡 SUPER
478,4,GOOD GREAT FANTASTIC AWESOME LOL LOL 😍
479,2,awful worst worst awful ... @@@
480,1,POOR TERRIBLE TERRIBLE LATE BAD AWFUL @@@ LOL
481,4,good good great great good amazing 😡 😍
482,3,POOR WORST TERRIBLE TERRIBLE BAD SUPER 😡 ###
483,1,terrible late worst !!! SUPER
484,5,FANTASTIC GOOD EXCELLENT FANTASTIC AWESOME 😡 ...
485,4,amazing great fantastic great awesome amazing amazing ###
486,3,TERRIBLE BAD POOR AWFUL TERRIBLE WORST ### @@@ 😍
487,4,good awesome great awesome fantastic great good ### LOL @@@
488,2,poor poor worst terrible late poor terrible 😍 ... 😍
